id	file	mimetype	name	researchPhase	documentType	article	location	locationgeo	date																		
descr	file location	nom qui apparaît sur le site	indicates what the website shall do with the file [tei	 pdf	 htm	 csv	 link	 ref]	[prep	 col	 anal	 ese	 compl]	[admi	 audio	 docu	 icono	 inter	 methodo	 note	 publi	 revis	 transcr]			coordonnées GPS	DD/MM/YY
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal95_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_ministre_paraverbal95_vi.xml	tei	Transcription de l'entretien avec Jean-Jack Queyranne	col	transcr	entretienindiv	Paris France	48.854952,2.32034	2002-11-05																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputeeu_paraverbal111_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputeeu_paraverbal111_vi.xml	tei	Transcription de l'entretien avec Pervenche Berès	col	transcr	entretienindiv	Strasbourg France	48.597699,7.768661	2002-02-25																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputeeu_paraverbal112_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputeeu_paraverbal112_vi.xml	tei	Transcription de l'entretien avec Jean-Louis Bourlanges	col	transcr	entretienindiv	Strasbourg France	48.597699,7.768661	2002-04-05																		
cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputeeu_paraverbal113_vi	col/transcr/entretienindiv/cdsp_bequali_sp3_col_transcr_entretienindiv_fr_deputeeu_paraverbal113_vi.xml	tei	Transcription de l'entretien avec Alain Lamassoure	col	transcr	entretienindiv	Strasbourg France	48.597699,7.768661	2002-02-11																		
cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese01_ol	col/methodo/fiche/cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese01_ol.pdf	pdf	Fiche de synthèse sur Pierre Albertini	col	methodo	fiche	Paris France	48.862266,2.318789	2002-03-06																		
cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese02_ol	col/methodo/fiche/cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese02_ol.pdf	pdf	Fiche de synthèse sur René André	col	methodo	fiche	Paris France	48.862267,2.31879	2002-11-27																		
cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese03_ol	col/methodo/fiche/cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese03_ol.pdf	pdf	Fiche de synthèse sur Marie-Hélène Aubert	col	methodo	fiche	Paris France	48.862268,2.318791	2002-01-24																		
cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese04_ol	col/methodo/fiche/cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese04_ol.pdf	pdf	Fiche de synthèse sur Alain Barrau	col	methodo	fiche	Paris France	48.862269,2.318792	2003-06-30																		
cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese05_ol	col/methodo/fiche/cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese05_ol.pdf	pdf	Fiche de synthèse sur Christian Bataille	col	methodo	fiche	Paris France	48.86227,2.318793	2001-12-05																		
cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese06_ol	col/methodo/fiche/cdsp_bequali_sp3_col_methodo_fiche_fr_deputefr_synthese06_ol.pdf	pdf	Fiche de synthèse sur Jean-Marie Bockel	col	methodo	fiche	Paris France	48.862271,2.318794	2002-01-30																		
